Country,Year,Tea_Type,Trade_Flow,Trade USD,Weight tones
Burundi,2021,Black Tea,Import,2161.64,2.25
Burundi,2021,Green Tea,Export,329.14,0.06
Burundi,2021,Green Tea,Import,22750.31,11.35
Burundi,2022,Black Tea,Export,22662744,9572.24
Burundi,2022,Black Tea,Import,4434.58,4.53
Burundi,2022,Green Tea,Export,1316.81,0.16
Burundi,2022,Green Tea,Import,12082.83,12.23
Cabo Verde,2019,Black Tea,Export,91.3,0.02
Cabo Verde,2019,Black Tea,Import,68254.82,7.49
Cabo Verde,2019,Black Tea,Re-Export,91.3,0.02
Cabo Verde,2019,Green Tea,Export,2970.1,0.36
Cabo Verde,2019,Green Tea,Import,82263.57,17.54
Cabo Verde,2019,Green Tea,Re-Export,2970.1,0.36
Cabo Verde,2020,Black Tea,Import,44169.29,4.69
Cabo Verde,2020,Green Tea,Import,68284.31,10.18
Cabo Verde,2021,Black Tea,Export,4.36,0
Cabo Verde,2021,Black Tea,Import,30551.71,2.72
Cabo Verde,2021,Black Tea,Re-Export,4.36,0
Cabo Verde,2021,Green Tea,Export,2296,0.19
Cabo Verde,2021,Green Tea,Import,61571.95,16.93
Cabo Verde,2021,Green Tea,Re-Export,2296,0.19
Cabo Verde,2022,Black Tea,Export,24.97,0
Cabo Verde,2022,Black Tea,Import,92849.18,8.84
Cabo Verde,2022,Black Tea,Re-Export,24.97,0
Cabo Verde,2022,Green Tea,Export,2155.15,0.13
Cabo Verde,2022,Green Tea,Import,83169.18,16.41
Cabo Verde,2022,Green Tea,Re-Export,2155.15,0.13
Cambodia,2019,Black Tea,Export,4275.75,0.67
Cambodia,2019,Black Tea,Import,347341.35,114.42
Cambodia,2019,Green Tea,Import,841689.47,148.12
Cambodia,2020,Black Tea,Export,981.48,0.04
Cambodia,2020,Black Tea,Import,603672.08,190.25
Cambodia,2020,Green Tea,Export,270.13,0.01
Cambodia,2020,Green Tea,Import,1330806.38,171.19
Cambodia,2021,Black Tea,Export,1582.05,0.02
Cambodia,2021,Black Tea,Import,497166.05,84.5
Cambodia,2021,Green Tea,Import,1498607.31,294.54
Cambodia,2022,Black Tea,Export,525,0.03
Cambodia,2022,Black Tea,Import,644183.44,112.46
Cambodia,2022,Green Tea,Export,5329.4,0.11
Cambodia,2022,Green Tea,Import,1543442.31,281.97
Cameroon,2019,Black Tea,Export,2209.91,1.03
Cameroon,2019,Black Tea,Import,388918.08,77.28
Cameroon,2019,Green Tea,Export,811.53,0.11
Cameroon,2019,Green Tea,Import,270900.22,125.61
Cameroon,2020,Black Tea,Export,554.19,0.03
Cameroon,2020,Black Tea,Import,719781.47,117.09
Cameroon,2020,Green Tea,Export,133.48,0.24
Cameroon,2020,Green Tea,Import,298481.27,107.67
Cameroon,2021,Black Tea,Import,695693.11,106.1
Cameroon,2021,Green Tea,Export,1460.04,1.74
Cameroon,2021,Green Tea,Import,279602.27,176.06
Canada,2019,Black Tea,Export,30299552.81,2477.84
Canada,2019,Black Tea,Import,93703962,14605.61
Canada,2019,Black Tea,Re-Export,4266652.31,314.8
Canada,2019,Green Tea,Export,13873279.88,766.31
Canada,2019,Green Tea,Import,43162004,3739.62
Canada,2019,Green Tea,Re-Export,2424847,208.35
Canada,2020,Black Tea,Export,28890110.38,2346.59
Canada,2020,Black Tea,Import,84426628,14293.29
Canada,2020,Black Tea,Re-Export,3533742.5,388.59
Canada,2020,Green Tea,Export,14956535.06,663.93
Canada,2020,Green Tea,Import,38838829,3346.36
Canada,2020,Green Tea,Re-Export,2630517.31,249.87
Canada,2021,Black Tea,Export,20364834.63,1363.11
Canada,2021,Black Tea,Import,96798182,14765.13
Canada,2021,Black Tea,Re-Export,4371228.94,350.72
Canada,2021,Green Tea,Export,10776480.94,495.67
Canada,2021,Green Tea,Import,44392287,3817.79
Canada,2021,Green Tea,Re-Export,2132274.69,203.91
Canada,2022,Black Tea,Export,19110756.75,1412.06
Canada,2022,Black Tea,Import,91873730,13260.91
Canada,2022,Black Tea,Re-Export,3117470.69,343.11
Canada,2022,Green Tea,Export,13246688.44,607.4
Canada,2022,Green Tea,Import,47506149,3903.23
Canada,2022,Green Tea,Re-Export,3208324.41,304.55
Cayman Islands,2020,Black Tea,Import,390038.78,42.02
Cayman Islands,2020,Green Tea,Import,610440.47,30.12
Cayman Islands,2021,Black Tea,Import,453542.68,46.45
Cayman Islands,2021,Green Tea,Import,515958.98,22.87
Cayman Islands,2022,Black Tea,Import,441559.75,42.68
Cayman Islands,2022,Green Tea,Import,362597.85,25.75
Central African Republic,2019,Black Tea,Import,130823.74,104.72
Central African Republic,2019,Green Tea,Import,88625.8,54.2
Central African Republic,2020,Black Tea,Import,26030.14,117.31
Central African Republic,2020,Green Tea,Import,14284.13,46.81
Central African Republic,2021,Black Tea,Import,297315.17,168.25
Central African Republic,2021,Green Tea,Import,117004.28,68.45
Central African Republic,2022,Black Tea,Import,190272.56,107.5
Central African Republic,2022,Green Tea,Import,60438.69,25.77
Chile,2019,Black Tea,Export,3327828.97,269.13
Chile,2019,Black Tea,Import,41288352,19228.22
Chile,2019,Green Tea,Export,597158.02,32.73
Chile,2019,Green Tea,Import,4254053.5,844.16
Chile,2020,Black Tea,Export,2490663.62,214.23
Chile,2020,Black Tea,Import,65666304,22575.3
Chile,2020,Green Tea,Export,752794.56,40.98
Chile,2020,Green Tea,Import,4051659.5,235.29
Chile,2021,Black Tea,Export,3599194.88,878.12
Chile,2021,Black Tea,Import,56851322,18964.31
Chile,2021,Green Tea,Export,876534.81,133.53
Chile,2021,Green Tea,Import,6808686.75,899.58
Chile,2022,Black Tea,Export,1338580.47,174.33
Chile,2022,Black Tea,Import,67787176,19574.92
Chile,2022,Green Tea,Export,414101.04,29.47
Chile,2022,Green Tea,Import,7115104.75,906.2
China,2019,Black Tea,Export,637033744,56130.06
China,2019,Black Tea,Import,166097788,39101.9
China,2019,Green Tea,Export,1382577728,310428.09
China,2019,Green Tea,Import,21123955,4303.67
